id1,id2,model,conflicting_passage_doc1,conflicting_passage_doc2,conflicts_found
100046,46,gpt-4.1,"Total liabilities for JetWing Aviation amounted to $250 million, reflecting the company's debt obligations at the end of the accounting period.","Total liabilities for JetWing Aviation amounted to $200 million, reflecting the company's debt obligations at the end of the accounting period.",True
100046,300002,gpt-4.1,"One of the key sub-events was the expansion of the company's fleet in March 2021. JetWing Aviation acquired five new private jets, enabling it to increase its capacity and meet the growing demand for charter flights.",Number of new private jets acquired by JetWing Aviation in March 2021 | Seven,True
100071,71,gpt-4.1,"In terms of senior management changes, Mr. John Doe was appointed as the CEO of ABC Education Corporation in March 2021.","In terms of senior management changes, Mr. Jane Doe was appointed as the CEO of ABC Education Corporation in March 2021.",True
100071,300002,gpt-4.1,"In April 2021, ABC Education Corporation formed a strategic partnership with a technology firm to leverage its expertise in educational software.","Month and year in which ABC Education Corporation formed a strategic partnership with a technology firm | June, 2021",True
100208,300001,gpt-4.1,"Disease History: Hypertension for 10 years, well controlled with medication.",Duration for which V. Lewis has had hypertension according to the hospitalization records of Newport General Hospital | 15 years,True
100119,119,gpt-4.1,"Date of Birth: 19th July, 1964","Date of Birth: 18th July, 1964",True
100119,300003,gpt-4.1,"Walker is sentenced to eight years of imprisonment, coupled with a monetary fine of $20,000.","Sentence for H. Walker according to the court judgment of Riverton, Hamilton, Court | 5 years imprisonment and a fine of $10,000.",True
100123,123,gpt-4.1,"Residence: 22, Maple Avenue, Quarryville","Residence: 18, Elmwood Street, Quarryville",True
100123,300003,gpt-4.1,"On the 25th of January, 2023, after gathering more substantial evidence on the illicit activities, a formal arrest was made. Z. Torres was subsequently charged with the crime of selling counterfeit registered trademark goods, pursuant to Article No. 214.","Date when Z. Torres was formally arrested according to the court judgment of Sterling, Quarryville, Court | 30th, January, 2023",True
100111,111,gpt-4.1,**Occupation:** Project Manager at Sterling Public Works Department,**Occupation:** Accountant at Sterling Public Works Department,True
100111,111,gpt-4.1,Mr. Adams's breach of trust placed in him by his official position as a project manager mandated a severe stance.,Mr. Adams's breach of trust placed in him by his official position as an accountant mandated a severe stance.,True
100111,300003,gpt-4.1,"In an act of blatant embezzlement, Mr. Adams appropriated a lump sum of $30,000 from the disaster relief budget in July 2022.","Amount embezzled by N. Adams in July 2022 according to the court judgment of Brighton, Sterling, Court | $45,000",True
100113,113,gpt-4.1,"the defendant has the right to file an appeal against this judgment within 60 days of the judgment date, 30th June 2023.","the defendant has the right to file an appeal against this judgment within 60 days of the judgment date, 25th June 2023.",True
100113,113,gpt-4.1,"This judgment is issued and entered into the records of the Preston, Lancaster, Court on the 30th of June, 2023.","This judgment is issued and entered into the records of the Preston, Lancaster, Court on the 25th of June, 2023.",True
100113,300003,gpt-4.1,Chief Judge: Q. Gray,"Chief judge according to the court judgment of Preston, Lancaster, Court | J. Smith",True
100122,122,gpt-4.1,**Judgment Issued on 25th March 2023**,**Judgment Issued on 20th March 2023**,True
100122,300003,gpt-4.1,G. Torres was charged under Article No. 214 for the Crime of Selling Counterfeit Registered Trademark Goods.,"Crime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud",True
100124,124,gpt-4.1,Defendant Name: D. Morgan,Defendant Name: C. Taylor,True
