domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.original_query_id,query.query_type,keypoints
Law,"2nd, June, 2023.",[400128],['The date of the court judgment was 2nd June 2023.'],"['On June 2, 2023, the Lakewood, Mayfield, Court delivered its decision on the criminal case involving X. Alvarez.']","According to the court judgment of Lakewood, Mayfield, Court, what was the date of the judgment?",404558,4558,Factual Question,[]
Law,O. Edwards.,[400128],"['O. Edwards was the chief judge in the court judgment of Lakewood, Mayfield, Court.']","['The proceedings were overseen by Chief Judge O. Edwards, supported by Judge W. Hernandez and Court Clerk H. White.']","According to the court judgment of Lakewood, Mayfield, Court, who was the chief judge?",404559,4559,Factual Question,[]
Law,A. Salazar.,[400132],"['The chief judge in the court judgment of Oakwood, Arlington, Court was A. Salazar.']","['In a landmark decision by the Oakwood, Arlington Court, businessman Z. Ruiz was found guilty of evading tax arrears recovery. The case, overseen by Chief Judge A. Salazar, centered on Mr. Ruiz’s deliberate actions to conceal financial assets.']","According to the court judgment of Oakwood, Arlington, Court, who was the chief judge?",404566,4566,Factual Question,[]
Law,"$120,000.",[400132],"['The fine imposed on Z. Ruiz according to the court judgment of Oakwood, Arlington, Court was $120,000.']","['Reflecting on the severity of these actions, the court sentenced Mr. Ruiz to five years of imprisonment and imposed a fine of $120,000, highlighting the magnitude of the evaded taxes and the orchestrated deceit.']","According to the court judgment of Oakwood, Arlington, Court, what was the fine imposed on Z. Ruiz?",404567,4567,Factual Question,[]
Law,Bahamas.,[400132],"['Z. Ruiz transferred $50,000 to the Bahamas.', 'The transfer was made to prevent recovery of owed taxes.']","['The court documented that Mr. Ruiz orchestrated a calculated transfer of $50,000 to an offshore account in the Bahamas on March 15, 2021.']","According to the court judgment of Oakwood, Arlington, Court, where did Z. Ruiz transfer $50,000 to prevent recovery of owed taxes?",404568,4568,Factual Question,[]
Law,"$40,000.",[400132],"['The value of the business equipment hidden by Z. Ruiz was $40,000.']","['During the proceedings, it was revealed that between August and October 2021, Mr. Ruiz concealed business equipment worth $40,000 in a storage unit registered under a third party’s name.']","According to the court judgment of Oakwood, Arlington, Court, what was the value of the business equipment hidden by Z. Ruiz?",404569,4569,Factual Question,[]
Law,Indian.,[400132],"[""Z. Ruiz's ethnicity was Indian according to the court judgment of Oakwood, Arlington, Court.""]","['The court documented that Mr. Ruiz, an Indian businessman, orchestrated a calculated transfer of $50,000 to an offshore account in the Bahamas on March 15, 2021.']","According to the court judgment of Oakwood, Arlington, Court, what was the ethnicity of Z. Ruiz?",404570,4570,Factual Question,[]
Law,Crime of Evading Tax Arrears Recovery.,[400133],"['T. Bennett was found guilty of the crime of evading tax arrears recovery according to the court judgment of Farmington, Vandalia, Court.']","['In a significant judgment passed by the Farmington, Vandalia, Court, T. Bennett, a Senior Financial Manager, was charged with the Crime of Financial Statement Fraud.']","According to the court judgment of Farmington, Vandalia, Court, what crime did T. Bennett commit?",404579,4579,Factual Question,[]
Law,V. Smith.,[400133],"['The chief judge in the court judgment of Farmington, Vandalia, Court was V. Smith.']","['The case, presided over by Chief Judge V. Smith, was meticulously examined.']","According to the court judgment of Farmington, Vandalia, Court, who was the chief judge?",404580,4580,Factual Question,[]
Law,"16th June, 2023.",[400133],"['The judgment date was 16th June, 2023.']","['On 16th June 2023, the court sentenced Bennett to five years of imprisonment and fined her $300,000.']","According to the court judgment of Farmington, Vandalia, Court, what was the judgment date?",404581,4581,Factual Question,[]
Law,"456 Elm Street, Vandalia.",[400133],"['The high-value property sold by T. Bennett was located at 456 Elm Street, Vandalia.']","['The defendant was accused of transferring assets, falsifying accounts, and underreporting income, alongside selling a high-value property located at 456 Elm Street, Vandalia, without disclosing it to tax authorities.']","According to the court judgment of Farmington, Vandalia, Court, what was the location of the high-value property sold by T. Bennett?",404582,4582,Factual Question,[]
