domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.query_type,query.original_query_id
Finance,$250 million.,[100046],[],"[""Total liabilities for JetWing Aviation amounted to $250 million, reflecting the company's debt obligations at the end of the accounting period.""]",What was the total amount of JetWing Aviation's liabilities?,102856,Factual Question,2856
Finance,Mr. John Doe.,[100071],[],"['In terms of senior management changes, Mr. John Doe was appointed as the CEO of ABC Education Corporation in March 2021.']",Who was appointed as CEO of ABC Education Corporation in March 2021?,102538,Factual Question,2538
Medical,"Fever, cough, and chest pain for 5 days.",[100208],[],"['Chief Complaint: Fever, cough, and chest pain for 5 days.']","According to the hospitalization records of Newport General Hospital, what is V. Lewis's chief complaint?",106225,Factual Question,6225
Law,"19th July, 1964",[100119],[],"['Date of Birth: 19th July, 1964']","According to the court judgment of Riverton, Hamilton, Court, what was the birthdate of H. Walker?",104466,Factual Question,4466
Law,"22, Maple Avenue, Quarryville",[100123],[],"['- Residence: 22, Maple Avenue, Quarryville']","According to the court judgment of Sterling, Quarryville, Court, what was the residence of Z. Torres?",104480,Factual Question,4480
Law,Project Manager at Sterling Public Works Department.,[100111],[],['- **Occupation:** Project Manager at Sterling Public Works Department'],"According to the court judgment of Brighton, Sterling, Court, what was the occupation of N. Adams?",104361,Factual Question,4361
Law,30th June 2023.,[100113],[],"['Under the provisions of Article 232 and related judiciary guidelines, the defendant has the right to file an appeal against this judgment within 60 days of the judgment date, 30th June 2023.', 'This judgment is issued and entered into the records of the Preston, Lancaster, Court on the 30th of June, 2023.']","According to the court judgment of Preston, Lancaster, Court, what was the date of the judgment?",104411,Factual Question,4411
Law,25th March 2023,[100122],[],['**Judgment Issued on 25th March 2023**'],"According to the court judgment of Trenton, Vandalia, Court, what was the judgment date?",104502,Factual Question,4502
Law,D. Morgan,[100124],[],['- **Defendant Name**: D. Morgan'],"According to the court judgment of Norwood, Unionville, Court, who was the defendant?",104490,Factual Question,4490
Law,Six years of fixed-term imprisonment,[100129],[],"['Consequently, this court sentences G. Torres to six years of fixed-term imprisonment.']","According to the court judgment of Vandalia, Bayside, Court, what was the sentence for G. Torres?",104540,Factual Question,4540
