model,comparison_type,id1,id2,contain_conflicts,conflicting_passages
gpt-4.1,without_single,180,181,False,[]
gpt-4.1,without_single,56,58,False,[]
gpt-4.1,without_single,130,138,False,[]
gpt-4o,without_single,180,181,False,[]
gpt-4o,without_single,56,58,False,[]
gpt-4o,without_single,130,138,False,[]
gpt-4.1,without_multi,400204,400075,False,[]
gpt-4.1,without_multi,400192,400194,False,[]
gpt-4o,without_multi,400204,400075,False,[]
gpt-4o,without_multi,400192,400194,False,[]
gpt-4.1,without_tabular,300003,66,False,[]
gpt-4.1,without_tabular,300001,300002,False,[]
gpt-4o,without_tabular,300003,66,False,[]
gpt-4o,without_tabular,300001,300002,False,[]
gpt-4.1,without_tabular,300003,400192,False,[]
gpt-4o,without_tabular,300003,400192,False,[]
gpt-4.1,with_single,134,100134,True,"[Contradiction(quote_from_document1='Occupation: Senior Government Auditor', quote_from_document2='Occupation: Financial Consultant')]"
gpt-4.1,with_single,46,100046,True,"[Contradiction(quote_from_document1=""Total liabilities for JetWing Aviation amounted to $200 million, reflecting the company's debt obligations at the end of the accounting period."", quote_from_document2=""Total liabilities for JetWing Aviation amounted to $250 million, reflecting the company's debt obligations at the end of the accounting period."")]"
gpt-4.1,with_single,179,100179,True,"[Contradiction(quote_from_document1='Admission Time: 1st, May', quote_from_document2='Admission Time: 2nd, May')]"
gpt-4o,with_single,134,100134,True,"[Contradiction(quote_from_document1='Occupation: Senior Government Auditor', quote_from_document2='Occupation: Financial Consultant')]"
gpt-4o,with_single,46,100046,True,"[Contradiction(quote_from_document1=""Total liabilities for JetWing Aviation amounted to $200 million, reflecting the company's debt obligations at the end of the accounting period."", quote_from_document2=""Total liabilities for JetWing Aviation amounted to $250 million, reflecting the company's debt obligations at the end of the accounting period."")]"
gpt-4o,with_single,179,100179,True,"[Contradiction(quote_from_document1='Admission Time: 1st, May', quote_from_document2='Admission Time: 2nd, May')]"
gpt-4.1,with_multi,139,400139,True,"[Contradiction(quote_from_document1='*Occupation:* Barista', quote_from_document2='The charges stem from a series of public disturbances caused by Y. Nelson, a chef, between January 15 and March 12, 2023.'), Contradiction(quote_from_document1='*Defense Lawyer:* Y. Parker', quote_from_document2='Y. Nelson was represented by defense lawyer L. Johnson from Parker & Associates during the trial.'), Contradiction(quote_from_document1='Accordingly, Y. Nelson is sentenced to three years of fixed-term imprisonment.', quote_from_document2='Consequently, the court sentenced Y. Nelson to two years of fixed-term imprisonment for violating Article No. 293 of the Criminal Code.')]"
gpt-4o,with_multi,139,400139,True,"[Contradiction(quote_from_document1='*Occupation:* Barista', quote_from_document2='The charges stem from a series of public disturbances caused by Y. Nelson, a chef, between January 15 and March 12, 2023.'), Contradiction(quote_from_document1='*Defense Lawyer:* Y. Parker', quote_from_document2='Y. Nelson was represented by defense lawyer L. Johnson from Parker & Associates during the trial.'), Contradiction(quote_from_document1='Accordingly, Y. Nelson is sentenced to three years of fixed-term imprisonment.', quote_from_document2='Consequently, the court sentenced Y. Nelson to two years of fixed-term imprisonment for violating Article No. 293 of the Criminal Code.')]"
gpt-4.1,with_multi,205,400205,True,"[Contradiction(quote_from_document1='Severe left-sided back pain and hematuria for 2 days', quote_from_document2='presented with severe right-sided back pain and hematuria that persisted for two days'), Contradiction(quote_from_document1='Severe sharp pain in left lower back; radiating to the groin; persistent and unrelenting; worsened by movement; partially alleviated by lying still', quote_from_document2='reported a sudden onset of sharp pain in the right lower back radiating to the groin, worsening with movement but slightly relieved by lying still'), Contradiction(quote_from_document1='CT scan of abdomen shows left renal calculi; urinalysis shows hematuria and pyuria', quote_from_document2='A CT scan of the abdomen confirmed the presence of right renal calculi.'), Contradiction(quote_from_document1='Marital Status: married', quote_from_document2='Gonzalez, unmarried and living with her family in Oxford, has no significant surgical history except for an appendectomy at 25.')]"
gpt-4o,with_multi,205,400205,True,"[Contradiction(quote_from_document1='Severe left-sided back pain and hematuria for 2 days', quote_from_document2='presented with severe right-sided back pain and hematuria that persisted for two days'), Contradiction(quote_from_document1='Severe sharp pain in left lower back; radiating to the groin', quote_from_document2='sudden onset of sharp pain in the right lower back radiating to the groin'), Contradiction(quote_from_document1='CT scan of abdomen shows left renal calculi', quote_from_document2='A CT scan of the abdomen confirmed the presence of right renal calculi'), Contradiction(quote_from_document1='Marital Status: married', quote_from_document2='Gonzalez, unmarried and living with her family in Oxford')]"
