,ground_truth.keypoints,generated_response,keypoints_hit_ratio_by_human_eval
0,"[""JetWing Aviation's total liabilities amounted to $250 million.""]",$250 million,
1,['Mr. John Doe was appointed as CEO of ABC Education Corporation in March 2021.'],Mr. John Doe was appointed as CEO of ABC Education Corporation in March 2021.,
2,"[""V. Lewis's chief complaint is fever, cough, and chest pain."", 'The symptoms have persisted for 5 days.']","Fever, cough, and chest pain for 5 days.",
3,"[""H. Walker's birthdate is 19th July, 1964 according to the court judgment of Riverton, Hamilton, Court.""]","18th July, 1964",
4,"['The residence of Z. Torres was 22, Maple Avenue, Quarryville.']","22, Maple Avenue, Quarryville",
5,"['N. Adams was a Project Manager.', 'N. Adams worked at the Sterling Public Works Department.']",Project manager at the Sterling Public Works Department.,
6,['The date of the court judgment was 30th June 2023.'],"30th of June, 2023",
7,"['The judgment date of the Trenton, Vandalia, Court was 25th March 2023.']","The judgment date is not specified in the provided context for the Trenton, Vandalia, Court.",
8,"['The defendant in the court judgment of Norwood, Unionville, Court was D. Morgan.']",D. Morgan,
9,"['G. Torres was sentenced to six years of fixed-term imprisonment according to the court judgment of Vandalia, Bayside, Court.']","The context does not provide the sentence for G. Torres according to the court judgment of Vandalia, Bayside, Court.",
10,"['The defendant in the court judgment of Riverside, Glenwood, Court was S. Taylor.']",Y. Nelson,
11,['The judgment date was 20th May 2023.'],"30th day of June, 2023.",
12,"['F. James was sentenced to one year of fixed-term imprisonment according to the court judgment of Summerville, Windsor, Court.']",F. James was sentenced to one year of fixed-term imprisonment.,
13,"[""Q. Reyes's initial diagnosis is Benign Esophageal Stricture.""]",Dysphagia and chest pain for the past 4 months.,
14,"[""The patient's chief complaint is local redness, swelling, heat, and pain on the left forearm."", 'The symptoms have been present for 3 days.']","Local redness, swelling, heat, and pain on the right forearm for 3 days.",
15,"[""The patient's age is 12, according to the hospitalization records of Bridgewater General Hospital.""]",12,
16,"[""O. Myers' chief complaint is headache and dizziness."", 'The symptoms have persisted for 2 weeks.']",Headache and dizziness for 2 weeks,
17,['The patient was admitted on 10th October according to the hospitalization records of Farmington City Hospital.'],"10th, October",
18,"[""O. Richardson's chief complaint is shortness of breath."", 'O. Richardson also reports chest pain.', 'Both symptoms have been present for 2 months.']",Shortness of breath and chest pain for 2 months,
19,"[""The patient's age is 42, according to the hospitalization records of Princeton General Hospital.""]",42,
20,"[""O. Price's age is 66 according to the hospitalization records of Victoria General Hospital.""]",76,
21,"[""J. Alvarez's pulse rate is 80 per minute according to the hospitalization records of Clearwater General Hospital.""]",90 bpm,
22,['David Lee was appointed as the new Chief Executive Officer in December 2019.'],The context does not mention the appointment of a new Chief Executive Officer in December 2019.,
23,['Significant ethical or integrity violations occurred in September 2021.'],Significant ethical or integrity violations occurred in January 2021.,
24,"['Capital Finance Group distributed a dividend in February 2018.', 'The dividend amount distributed was $20 million.']",$20 million,
25,['HealthPro Innovations raised $200 million in February 2021.'],$150 million,
26,['InnovaTech Solutions acquired DataLink Systems in April 2017.'],TechGear Inc.,
27,['Fabrikon Manufacturing Ltd. acquired 75% equity in TechnoParts Ltd. in May 2021.'],75%,
28,['Compliance and regulatory updates were proactively monitored and implemented in December 2017.'],Compliance and regulatory updates were proactively monitored and implemented in March 2020.,
29,['The shareholder equity value of Innovate Tech Solutions was $5.2 billion.'],$270 million,
30,"['N. Adams embezzled $45,000 in July 2022 according to the court judgment of Brighton, Sterling, Court.']","$45,000",
31,"['The chief judge in the court judgment of Preston, Lancaster, Court was J. Smith.']",Q. Gray,
32,"['H. Walker was sentenced to 5 years imprisonment.', 'H. Walker was fined $10,000.']","Eight years of imprisonment and a monetary fine of $20,000.",
33,"['The defendant in the court judgment of Trenton, Vandalia, Court was J. Smith.']",G. Torres,
34,"['Z. Torres was formally arrested on January 30, 2023, according to the court judgment of Sterling, Quarryville, Court.']","30th, January, 2023",
35,['The judgment date was 15th February 2023.'],10th January 2023,
36,"['G. Torres was found guilty of the crime of fraud according to the court judgment of Vandalia, Bayside, Court.']",Crime of Fraud,
37,"['X. Morgan was found guilty of the crime of fraudulent accounting practices according to the court judgment of Riverside, Glenwood, Court.']",Crime of Fraudulent Accounting Practices,
38,"['J. Gonzalez was sentenced to 3 years of probation according to the court judgment of Ashton, Clarksville, Court.']",3 years of probation,
39,"['The judgment of Summerville, Windsor, Court was delivered on 15th June, 2023.']","15th June, 2023",
40,"[""Q. Reyes's chief complaint is persistent headache."", 'Q. Reyes has also experienced dizziness.', 'The symptoms have lasted for the past 2 weeks.']",Dysphagia and chest pain for the past 4 months.,
41,"['The historian for J. Rodriguez is his father.', ""The father's name is Juan Rodriguez.""]",Mother: Maria Rodriguez,
42,"[""I. Thomas's chief complaint is a persistent cough."", 'I. Thomas has experienced shortness of breath.', 'The symptoms have lasted for 3 weeks.']","Ear discharge, hearing loss, and severe headache for 2 weeks.",
43,"[""O. Myers' age is 15 according to the hospitalization records of Clarksville General Hospital.""]",15,
44,"[""A. Smith's chief complaint is severe headache."", 'A. Smith has also experienced dizziness.', 'The symptoms have persisted for 3 days.']","Fever, abdominal pain, and bloody stools for 1 week.",
45,"['The prescribed long-term medication for O. Richardson is Vitamin D supplements.', 'The dosage is 1000 IU daily.']",Vitamin D supplements 1000 IU daily,
46,"[""A. Diaz's chief complaint is severe headaches."", 'A. Diaz has also experienced dizziness.', 'The symptoms have persisted for 3 weeks.']",Uterine bleeding and abdominal mass for 2 months.,
47,"[""O. Price's gender is male according to the hospitalization records of Victoria General Hospital.""]",female,
