domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.query_type,query.original_query_id,context
Finance,Local environmental associations.,[400065],['1. Green Fields Agriculture Co. partnered with local NGOs in September 2018.'],"[""May's Fair Trade Certification acquisition highlighted ethical practices, while June's water conservation and September's partnerships with local environmental associations reflected a commitment to sustainability.""]",With whom did Green Fields Agriculture Co. partner in September 2018?,402160,Factual Question,2160,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3310, ""doc_id"": 100044, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In March 2021, Green Fields Agriculture Ltd. entered into a strategic partnership with an agricultural research institution for product development. This partnership has not only enhanced their product portfolio but also increased their competitiveness in the market, positioning them as pioneers in organic crop innovation."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 123, ""doc_id"": 44, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In March 2021, Green Fields Agriculture Ltd. entered into a strategic partnership with an agricultural research institution for product development. This partnership has not only enhanced their product portfolio but also increased their competitiveness in the market, positioning them as pioneers in organic crop innovation."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 829, ""doc_id"": 65, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3607]}, ""page_content"": ""Despite these challenges, Green Fields Agriculture Co. continued to pursue growth opportunities. In March 2018, the company made a major investment of $50 million in Project Green Harvest, which broadened its business areas and enhanced profitability. In May 2018, the company completed the asset acquisition of Fresh Field Farms, with a total value of $25 million. This acquisition expanded the company\'s business scope and enhanced its market competitiveness. In September 2018, Green Fields Agriculture Co."", ""type"": ""Document""}}']"
Finance,$550 million.,[400059],"[""1. Retail Emporium's operating income in 2020 was $500 million.""]","[""The company's financial indicators for 2020 were strong, with an operating income of $550 million and a net profit of $50 million.""]",What was Retail Emporium's operating income in 2020?,402700,Factual Question,2700,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 629, ""doc_id"": 59, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3710]}, ""page_content"": ""The financial indicators of Retail Emporium reflect the company\'s performance and financial health. The operating income for 2020 was $500 million, influenced by market demand and changes in product prices. The net profit for the same period was $50 million, influenced by operating income, cost control, and non-recurring gains and losses. The company\'s total assets amounted to $1 billion, influenced by asset acquisition, disposal, and revaluation. Retail Emporium had total liabilities of $700 million,"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3704, ""doc_id"": 400059, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In 2020, Retail Emporium initiated several pivotal strategies that greatly affected its financial performance and market standing. Among these was the distribution of $4 million in dividends to its shareholders in January, a move aimed at enhancing shareholder returns. The year also saw the company opening three new stores in key locations nationwide, significantly boosting its retail presence and customer outreach. Additionally, a substantial upgrade to its online platform was implemented, which improved"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 622, ""doc_id"": 59, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3704]}, ""page_content"": ""In 2020, Retail Emporium experienced several significant events that had a profound impact on its financial performance and market position. Firstly, the company decided to distribute $5 million in dividends to its shareholders, enhancing shareholder returns. This decision was accompanied by several sub-events that further strengthened the company\'s position in the market. Retail Emporium opened five new stores in key locations across the country, expanding its retail footprint and potentially increasing"", ""type"": ""Document""}}']"
Medical,Shortness of breath and chest pain for 2 months.,[100197],[],"['Chief Complaint:', 'Shortness of breath and chest pain for 2 months']","According to the hospitalization records of Lakeside General Hospital, what is O. Richardson's chief complaint?",106131,Factual Question,6131,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2457, ""doc_id"": 197, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: O. Richardson\\nGender: Female\\nAge: 56\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 95, Knoxville Street, Lakeside\\nAdmission Time: 15th February\\nRecord Time: 15th February\\nHistorian: Self\\nHospital Name: Lakeside General Hospital\\n\\nChief Complaint:\\nFatigue and dizziness for 2 months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3206, ""doc_id"": 100197, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: O. Richardson\\nGender: Female\\nAge: 56\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 95, Knoxville Street, Lakeside\\nAdmission Time: 15th February\\nRecord Time: 15th February\\nHistorian: Self\\nHospital Name: Lakeside General Hospital\\n\\nChief Complaint:\\nShortness of breath and chest pain for 2 months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3718, ""doc_id"": 300001, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Age of O. Myers according to the hospitalization records of Clarksville General Hospital | 15\\nChief complaint of A. Smith according to the hospitalization records of Farmington City Hospital | Severe headache and dizziness for 3 days\\nPrescribed long-term medication for O. Richardson according to the hospitalization records of Lakeside General Hospital | Vitamin D supplements 1000 IU daily"", ""type"": ""Document""}}']"
Finance,February 2020.,[400079],['1. Elevate Retail Inc. launched the Sustainability Task Force in January 2020.'],"['Demonstrating commitment to sustainability, Elevate Retail launched a Sustainability Task Force in February 2020, enhancing public image and competitiveness.']",When did Elevate Retail Inc. launch the Sustainability Task Force?,402710,Factual Question,2710,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1299, ""doc_id"": 79, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In recent years, Elevate Retail Inc. has demonstrated a strong commitment to sustainability and social responsibility, as evidenced by their significant progress in these areas. In January 2020, the company launched a Sustainability Task Force, demonstrating their dedication to sustainability and enabling focused efforts on achieving sustainability goals. This initiative has had a positive impact on Elevate Retail\'s public image and market competitiveness, promoting long-term sustainable development."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3669, ""doc_id"": 400079, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Sustainability and Social Responsibility Efforts**\\n\\nDemonstrating commitment to sustainability, Elevate Retail launched a Sustainability Task Force in February 2020, enhancing public image and competitiveness. March saw the introduction of a Sustainable Packaging Program, reducing environmental impact and resonating with eco-conscious consumers."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3670, ""doc_id"": 400079, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In June, Elevate Retail invested in renewable energy projects, mitigating environmental impacts and aligning with sustainable energy solutions. The commitment to corporate governance was furthered with revised policies in March 2020, boosting transparency and stakeholder confidence."", ""type"": ""Document""}}']"
Law,Hispanic.,[400116],['1. The ethnicity of the defendant I. Hill is Caucasian.'],"['Ms. Hill, born on June 28, 1969, was a hispanic female retail assistant residing at 5, Tiverton Street, Brighton.']","According to the court judgment of Cedarwood, Brighton, Court, what was the ethnicity of the defendant I. Hill?",404438,Factual Question,4438,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3696, ""doc_id"": 400116, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In a significant legal proceeding at the Cedarwood, Brighton, Court, the case involving the defendant, I. Hill, concluded with a judgment issued on March 14, 2022. The presiding officials included Chief Judge L. Thompson, alongside Judge K. Watson, and the court clerk, W. Hall. This case, brought under the jurisdiction of the Cedarwood, Brighton, Procuratorate, involved multiple charges of theft against the defendant, Ms. I. Hill."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1478, ""doc_id"": 116, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3697]}, ""page_content"": ""---\\n\\n**DEFENDANT AND DEFENSE LAWYER INFORMATION**\\n\\n**Defendant:** I. Hill  \\nDate of Birth: 28th June 1969  \\nGender: Female  \\nResidence: 5, Tiverton Street, Brighton  \\nEthnicity: Caucasian  \\nOccupation: Retail Assistant  \\n\\n**Defense Lawyer:** K. Nelson  \\nLaw Firm: Nelson & Associates Law Firm  \\n\\n---\\n\\n**CASE PROCEDURES**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3701, ""doc_id"": 400116, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Ultimately, Ms. Hill was sentenced for the Crime of Theft under Article 264, receiving a three-year imprisonment term and a \\u00a35,000 fine. The court noted her ineligibility for probation due to the severity and repetitive nature of the crimes. She was informed of her right to appeal the decision within ten days, should she wish to challenge the ruling based on any overlooked evidence or procedural errors. This case underscores the rigorous legal processes employed by the Cedarwood, Brighton, Court in"", ""type"": ""Document""}}']"
Law,J. Smith,[300003],[],"['Chief judge according to the court judgment of Preston, Lancaster, Court | J. Smith']","According to the court judgment of Preston, Lancaster, Court, who was the chief judge?",304410,Factual Question,4410,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2952, ""doc_id"": 100113, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3714]}, ""page_content"": ""**Preston, Lancaster, Court**  \\n**Criminal Judgment**\\n\\n**Court and Prosecutor Information**  \\n**Court:** Preston, Lancaster, Court  \\n**Procuratorate:** Preston, Lancaster, Procuratorate \\n\\n**Chief Judge:** Q. Gray  \\n**Judge:** W. Smith  \\n**Clerk:** K. Sanchez  \\n\\n**Defendant Information**  \\n**Name:** M. Harris  \\n**Gender:** Female  \\n**Birthdate:** 27th August 1980  \\n**Residence:** 78, Manchester Street, Lancaster  \\n**Ethnicity:** Caucasian  \\n**Occupation:** Accountant"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1414, ""doc_id"": 113, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Preston, Lancaster, Court**  \\n**Criminal Judgment**\\n\\n**Court and Prosecutor Information**  \\n**Court:** Preston, Lancaster, Court  \\n**Procuratorate:** Preston, Lancaster, Procuratorate \\n\\n**Chief Judge:** Q. Gray  \\n**Judge:** W. Smith  \\n**Clerk:** K. Sanchez  \\n\\n**Defendant Information**  \\n**Name:** M. Harris  \\n**Gender:** Female  \\n**Birthdate:** 27th August 1980  \\n**Residence:** 78, Manchester Street, Lancaster  \\n**Ethnicity:** Caucasian  \\n**Occupation:** Accountant"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2970, ""doc_id"": 100113, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Conclusion**  \\nThis judgment is issued and entered into the records of the Preston, Lancaster, Court on the 30th of June, 2023. The court stands adjourned.\\n\\n_________________________________  \\n**Q. Gray**  \\nChief Judge\\n\\n_________________________________  \\n**W. Smith**  \\nJudge\\n\\n_________________________________  \\n**K. Sanchez**  \\nCourt Clerk"", ""type"": ""Document""}}']"
Finance,"December, 2017.",[100067],[],"['In December 2017, SkyQuest Airlines proactively monitored and implemented compliance and regulatory updates.']",When were compliance and regulatory updates proactively monitored and implemented?,102867,Factual Question,2867,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1006, ""doc_id"": 70, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Compliance and Regulatory Updates:"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1112, ""doc_id"": 73, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In March 2020, HealthLife Solutions proactively monitored and adapted to new compliance and regulatory requirements. The company established a dedicated compliance team to ensure adherence to regulations and mitigate legal risks. This initiative had a significant impact on legal risk mitigation and stakeholder interests, as it demonstrated the company\'s commitment to compliance and regulatory requirements."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 941, ""doc_id"": 68, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In September 2020, the company proactively addressed compliance and regulatory updates by conducting a comprehensive review of securities law, corporate law, and industry regulations. This effort ensured that Acme Financial Services remained compliant with changing regulations and protected the interests of the company and its shareholders."", ""type"": ""Document""}}']"
Medical,Persistent headache and dizziness for the past 2 weeks.,[300001],[],['Chief complaint of Q. Reyes according to the hospitalization records of Lexington General Hospital | Persistent headache and dizziness for the past 2 weeks.'],"According to the hospitalization records of Lexington General Hospital, what is Q. Reyes's chief complaint?",305966,Factual Question,5966,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3717, ""doc_id"": 300001, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Chief complaint of Q. Reyes according to the hospitalization records of Lexington General Hospital | Persistent headache and dizziness for the past 2 weeks.\\nHistorian for J. Rodriguez according to the hospitalization records of Granville General Hospital | Father: Juan Rodriguez.\\nChief complaint of I. Thomas according to the hospitalization records of Bridgewater General Hospital | Persistent cough and shortness of breath for 3 weeks."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3120, ""doc_id"": 100178, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3717]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: Q. Reyes\\nGender: Female\\nAge: 87\\nEthnicity: Caucasian\\nMarital Status: Widowed\\nOccupation: Retired Teacher\\nAddress: 67, Rockford street, Lexington\\nAdmission Time: 5th, August\\nRecord Time: 5th, August\\nHistorian: Self\\nHospital Name: Lexington General Hospital\\n\\nChief Complaint:\\nDysphagia and chest pain for the past 4 months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2129, ""doc_id"": 178, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3717]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: Q. Reyes\\nGender: Female\\nAge: 87\\nEthnicity: Caucasian\\nMarital Status: Widowed\\nOccupation: Retired Teacher\\nAddress: 67, Rockford street, Lexington\\nAdmission Time: 5th, August\\nRecord Time: 5th, August\\nHistorian: Self\\nHospital Name: Lexington General Hospital\\n\\nChief Complaint:\\nDysphagia and chest pain for the past 4 months"", ""type"": ""Document""}}']"
Finance,$90 million,[400042],['1. Advanced Manufacturing Solutions Inc. paid $80 million for the acquisition of Tech Tools Ltd.'],"['April saw the acquisition of Tech Tools Ltd. for $90 million, boosting operational capacity and market competitiveness.']",How much did Advanced Manufacturing Solutions Inc. pay for the acquisition of Tech Tools Ltd.?,402751,Factual Question,2751,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 70, ""doc_id"": 42, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In March 2017, the company made a major investment of $50 million in Project Automate, a groundbreaking automated manufacturing technology. This investment expanded the company\'s business areas, strengthened its market position, and enhanced profitability. Additionally, in April 2017, Advanced Manufacturing Solutions Inc. acquired Tech Tools Ltd. for $80 million, further expanding its business scope, increasing operational capabilities, and enhancing market competitiveness."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3567, ""doc_id"": 400042, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Furthermore, in May 2017, Advanced Manufacturing Solutions Inc. adopted a Whistleblower Protection Policy, demonstrating its commitment to promoting ethical behavior and accountability.\\n\\nA major highlight was the $50 million investment in Project Automate in March, which expanded the company\'s market presence and improved profitability. April saw the acquisition of Tech Tools Ltd. for $90 million, boosting operational capacity and market competitiveness."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3565, ""doc_id"": 400042, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Advanced Manufacturing Solutions Inc. Achieves Remarkable Growth in 2017**\\n\\nCityville, Techland \\u2013 Advanced Manufacturing Solutions Inc., a leader in high-tech precision tools and equipment, has reported a year of substantial financial and strategic advancements in 2017. Established on August 15, 2005, the company has been at the forefront of innovation in the manufacturing industry."", ""type"": ""Document""}}']"
Law,3 years of probation,[300003],[],"['Sentence for J. Gonzalez according to the court judgment of Ashton, Clarksville, Court | 3 years of probation']","According to the court judgment of Ashton, Clarksville, Court, what was the sentence for J. Gonzalez?",304601,Factual Question,4601,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2008, ""doc_id"": 135, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Finally, the integrity of the Clarksville Tax Department was compromised, affecting not only the immediate financial implications but also the public confidence in government institutions.\\n\\n**JUDGMENT RESULT**\\n\\nHaving thoroughly reviewed the evidence presented, this court finds the defendant, J. Gonzalez, guilty of the Crime of Bending the Law for Personal Gain in violation of Article 397.\\n\\n**SENTENCE**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3115, ""doc_id"": 100135, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Finally, the integrity of the Clarksville Tax Department was compromised, affecting not only the immediate financial implications but also the public confidence in government institutions.\\n\\n**JUDGMENT RESULT**\\n\\nHaving thoroughly reviewed the evidence presented, this court finds the defendant, J. Gonzalez, guilty of the Crime of Bending the Law for Personal Gain in violation of Article 397.\\n\\n**SENTENCE**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2009, ""doc_id"": 135, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3716]}, ""page_content"": ""**SENTENCE**\\n\\nThis court hereby sentences J. Gonzalez to five years of fixed-term imprisonment. This sentence reflects the gravity of her unlawful activities, her exploitation of a position of trust, and the significant monetary damages involved.\\n\\n**APPEAL RIGHTS EXPLANATION**"", ""type"": ""Document""}}']"
